website,rel,type,title,href,id
http://yusuke-ujitoko.hatenablog.com/,alternate,application/atom+xml,Atom,http://yusuke-ujitoko.hatenablog.com/feed,NA
http://yusuke-ujitoko.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://yusuke-ujitoko.hatenablog.com/rss,NA
http://yamano357.hatenadiary.com/,alternate,application/atom+xml,Atom,http://yamano357.hatenadiary.com/feed,NA
http://yamano357.hatenadiary.com/,alternate,application/rss+xml,RSS2.0,http://yamano357.hatenadiary.com/rss,NA
http://id.fnshr.info/,alternate,application/rss+xml,Colorless Green Ideas » フィード,http://id.fnshr.info/feed/,NA
http://id.fnshr.info/,alternate,application/rss+xml,Colorless Green Ideas » コメントフィード,http://id.fnshr.info/comments/feed/,NA
http://www.unofficialgoogledatascience.com/,alternate,application/atom+xml,The Unofficial Google Data Science Blog - Atom,http://www.unofficialgoogledatascience.com/feeds/posts/default,NA
http://www.unofficialgoogledatascience.com/,alternate,application/rss+xml,The Unofficial Google Data Science Blog - RSS,http://www.unofficialgoogledatascience.com/feeds/posts/default?alt=rss,NA
http://skozawa.hatenablog.com/,alternate,application/atom+xml,Atom,http://skozawa.hatenablog.com/feed,NA
http://skozawa.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://skozawa.hatenablog.com/rss,NA
http://kkimura.hatenablog.com/,alternate,application/atom+xml,Atom,http://kkimura.hatenablog.com/feed,NA
http://kkimura.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://kkimura.hatenablog.com/rss,NA
http://kosugitti.net/,alternate,application/rss+xml,Kosugitti Labo ver.9 » フィード,http://kosugitti.net/feed,NA
http://kosugitti.net/,alternate,application/rss+xml,Kosugitti Labo ver.9 » コメントフィード,http://kosugitti.net/comments/feed,NA
http://kosugitti.net/,alternate,application/json+oembed,NA,http://kosugitti.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkosugitti.net%2F,NA
http://kosugitti.net/,alternate,text/xml+oembed,NA,http://kosugitti.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkosugitti.net%2F&format=xml,NA
http://estrellita.hatenablog.com/,alternate,application/atom+xml,Atom,http://estrellita.hatenablog.com/feed,NA
http://estrellita.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://estrellita.hatenablog.com/rss,NA
http://takehiko-i-hayashi.hatenablog.com/,alternate,application/atom+xml,Atom,http://takehiko-i-hayashi.hatenablog.com/feed,NA
http://takehiko-i-hayashi.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://takehiko-i-hayashi.hatenablog.com/rss,NA
http://ill-identified.hatenablog.com/,alternate,application/atom+xml,Atom,http://ill-identified.hatenablog.com/feed,NA
http://ill-identified.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://ill-identified.hatenablog.com/rss,NA
http://mathetake.hatenablog.com/,alternate,application/atom+xml,Atom,http://mathetake.hatenablog.com/feed,NA
http://mathetake.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://mathetake.hatenablog.com/rss,NA
http://r-statistics-fan.hatenablog.com/,alternate,application/atom+xml,Atom,http://r-statistics-fan.hatenablog.com/feed,NA
http://r-statistics-fan.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://r-statistics-fan.hatenablog.com/rss,NA
http://shinaisan.hatenablog.com/,alternate,application/atom+xml,Atom,http://shinaisan.hatenablog.com/feed,NA
http://shinaisan.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://shinaisan.hatenablog.com/rss,NA
http://norimune.net/,alternate,application/rss+xml,Sunny side up! » フィード,http://norimune.net/feed,NA
http://norimune.net/,alternate,application/rss+xml,Sunny side up! » コメントフィード,http://norimune.net/comments/feed,NA
http://norimune.net/,alternate,application/json+oembed,NA,http://norimune.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fnorimune.net%2F,NA
http://norimune.net/,alternate,text/xml+oembed,NA,http://norimune.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fnorimune.net%2F&format=xml,NA
https://statr.me/,alternate,application/rss+xml,RSS,https://statr.me/index.xml,NA
http://yamaguchiyuto.hatenablog.com/,alternate,application/atom+xml,Atom,http://yamaguchiyuto.hatenablog.com/feed,NA
http://yamaguchiyuto.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://yamaguchiyuto.hatenablog.com/rss,NA
http://uncorrelated.hatenablog.com/,alternate,application/atom+xml,Atom,http://uncorrelated.hatenablog.com/feed,NA
http://uncorrelated.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://uncorrelated.hatenablog.com/rss,NA
https://blog.albert2005.co.jp/,alternate,application/rss+xml,ALBERT Official Blog » フィード,https://blog.albert2005.co.jp/feed/,NA
https://blog.albert2005.co.jp/,alternate,application/rss+xml,ALBERT Official Blog » コメントフィード,https://blog.albert2005.co.jp/comments/feed/,NA
https://logics-of-blue.com/,alternate,application/rss+xml,Logics of Blue » フィード,https://logics-of-blue.com/feed/,NA
https://logics-of-blue.com/,alternate,application/rss+xml,Logics of Blue » コメントフィード,https://logics-of-blue.com/comments/feed/,NA
https://logics-of-blue.com/,alternate,application/json+oembed,NA,https://logics-of-blue.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flogics-of-blue.com%2F,NA
https://logics-of-blue.com/,alternate,text/xml+oembed,NA,https://logics-of-blue.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flogics-of-blue.com%2F&format=xml,NA
http://statmodeling.hatenablog.com/,alternate,application/atom+xml,Atom,http://statmodeling.hatenablog.com/feed,NA
http://statmodeling.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://statmodeling.hatenablog.com/rss,NA
https://martynplummer.wordpress.com/,alternate,application/rss+xml,JAGS News » Feed,https://martynplummer.wordpress.com/feed/,NA
https://martynplummer.wordpress.com/,alternate,application/rss+xml,JAGS News » Comments Feed,https://martynplummer.wordpress.com/comments/feed/,NA
http://blog.hoxo-m.com/,alternate,application/rss+xml,株式会社ホクソエムのブログ,http://blog.hoxo-m.com/index.xml,NA
http://tatabox.hatenablog.com/,alternate,application/atom+xml,Atom,http://tatabox.hatenablog.com/feed,NA
http://tatabox.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://tatabox.hatenablog.com/rss,NA
http://keiku.hatenablog.jp/,alternate,application/atom+xml,Atom,http://keiku.hatenablog.jp/feed,NA
http://keiku.hatenablog.jp/,alternate,application/rss+xml,RSS2.0,http://keiku.hatenablog.jp/rss,NA
http://musyoku.github.io/,alternate,application/rss+xml,ご注文は機械学習ですか？ - https://twitter.com/musyokudon,/feed.xml,NA
http://nonki1974.hateblo.jp/,alternate,application/atom+xml,Atom,http://nonki1974.hateblo.jp/feed,NA
http://nonki1974.hateblo.jp/,alternate,application/rss+xml,RSS2.0,http://nonki1974.hateblo.jp/rss,NA
http://aidiary.hatenablog.com/,alternate,application/atom+xml,Atom,http://aidiary.hatenablog.com/feed,NA
http://aidiary.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://aidiary.hatenablog.com/rss,NA
